"Zeit","Ort"
1.0028,0.88743
1.0852,1.0794
1.0332,1.1819
0.92458,0.67745
0.86262,1.3743
1.0528,1.1421
1.04,0.92671
1.0006,1.054
0.9937,1.1565
1.2902,1.0087
1.0089,0.78679
1.0597,1.3047
1.1016,1.1463
0.98519,1.0934
0.98503,1.5404
0.91929,0.93914
1.2155,0.92391
1.0213,1.0446
1.0107,0.84177
1.0058,1.0196
0.90654,1.3339
1.0386,1.2086
1.0181,0.788
1.0329,0.90408
1.1128,0.91123
1.0158,0.73759
1.0298,1.1156
1.0202,0.8823
0.89112,0.9495
1.1728,1.0782
1.1606,0.77439
0.99344,1.4143
1.0156,0.93969
1.161,1.1846
0.98992,0.87236
0.82847,1.0117
1.0126,0.66541
0.99087,1.0356
0.89056,1.0987
1.0273,1.0569
1.0301,1.2016
0.92393,0.96485
0.99639,1.1045
1.0682,1.2324
1.0473,0.86669
1.0044,0.87496
1.1822,0.82383
0.9783,0.85066
1.07,1.2165
1.0013,1.1432
1.0632,1.2794
1.0533,1.2419
1.049,1.3922
1.0893,1.4004
1.0715,1.2374
0.84642,1.3009
0.85274,0.80189
0.99425,1.3034
0.96031,1.0725
1.0886,1.1829
0.91998,1.1625
1.078,0.71913
0.91139,0.90367
0.86493,0.80877
1.0196,0.7061
0.90513,0.96574
0.94938,1.0126
1.0553,1.1592
0.93258,0.52455
1.2035,0.91963
0.98273,1.1168
1.1261,0.76783
1.0159,0.80056
0.92913,1.1597
1.1296,1.0885
1.078,0.94772
0.90739,0.72115
0.95298,1.2016
0.82179,0.70337
0.94889,1.1268
0.91732,1.2564
1.1899,0.58228
0.96619,0.98088
0.96089,0.85932
1.0123,1.2402
0.98472,0.68983
0.90169,0.65741
1.0232,0.87491
1.116,1.2238
0.91423,1.1077
1.0786,0.97818
1.0172,0.81291
1.0837,0.80954
1.0846,0.60667
1.0366,1.1942
0.98227,0.81674
1.1606,1.0543
0.92654,1.1693
1.0078,0.93206
0.98853,0.90224
0.98958,1.3058
1.1123,0.94398
0.95779,1.0591
1.0201,0.87184
1.0015,1.464
0.92632,0.94172
1.1208,0.99943
1.1336,1.0451
0.83764,0.63961
1.0917,1.2397
1.0099,0.88669
1.0345,0.97467
0.88401,0.66911
1.0773,0.85053
0.87812,1.4472
0.83364,0.99136
0.82083,1.0074
1.025,0.95452
0.93725,1.2599
1.2152,1.1783
1.0353,1.4454
1.3108,0.69319
0.94911,1.2394
1.0344,0.89703
0.95454,1.1112
1.0601,0.97975
0.90141,1.185
0.79957,0.81911
0.99991,1.2226
0.90333,1.0928
1.0814,0.60599
0.96641,0.79951
1.012,0.95687
1.0438,0.81892
1.0156,0.7425
0.90451,1.0809
1.0886,0.71459
1.0754,0.85993
0.84744,0.78227
1.0347,0.77359
1.0523,0.85754
