"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.159912800E-2,3.971999741E1,-1.403999996E1,3.143999863E1,5.256684608E1
3.947266300E-2,3.971999741E1,-1.451999950E1,3.185999870E1,5.294873083E1
4.746826900E-2,3.989999771E1,-1.469999981E1,3.197999954E1,5.320545256E1
5.537232200E-2,3.977999878E1,-1.523999977E1,3.221999741E1,5.341192871E1
6.330689200E-2,3.965999985E1,-1.577999973E1,3.263999939E1,5.373354203E1
7.121094500E-2,3.971999741E1,-1.542000008E1,3.257999802E1,5.363684244E1
7.911499700E-2,3.947999954E1,-1.542000008E1,3.270000076E1,5.353257715E1
8.711060300E-2,3.995999908E1,-1.451999950E1,3.275999832E1,5.367354472E1
9.501465600E-2,4.007999802E1,-1.409999943E1,3.300000000E1,5.379792027E1
1.029797430E-1,4.002000046E1,-1.409999943E1,3.318000031E1,5.386392894E1
1.108227610E-1,4.013999939E1,-1.415999985E1,3.341999817E1,5.411673885E1
1.187268140E-1,3.959999847E1,-1.505999947E1,3.347999954E1,5.399883177E1
1.267224190E-1,3.954000092E1,-1.511999989E1,3.341999817E1,5.393442636E1
1.346264720E-1,3.941999817E1,-1.535999966E1,3.305999756E1,5.369198528E1
1.425915600E-1,3.900000000E1,-1.547999954E1,3.281999969E1,5.327084349E1
1.504345770E-1,3.893999863E1,-1.493999958E1,3.323999786E1,5.333314671E1
1.583996650E-1,3.900000000E1,-1.511999989E1,3.275999832E1,5.313032925E1
1.663647530E-1,3.911999893E1,-1.500000000E1,3.281999969E1,5.322148717E1
1.742993240E-1,3.947999954E1,-1.481999969E1,3.318000031E1,5.365831879E1
1.822033760E-1,3.965999985E1,-1.493999958E1,3.239999771E1,5.334678085E1
1.901074290E-1,3.947999954E1,-1.457999992E1,3.215999985E1,5.296708744E1
1.980114820E-1,3.959999847E1,-1.457999992E1,3.185999870E1,5.287528529E1
2.060070870E-1,3.947999954E1,-1.493999958E1,3.155999947E1,5.270585848E1
2.139111400E-1,3.965999985E1,-1.493999958E1,3.192000008E1,5.305662617E1
2.218762280E-1,3.989999771E1,-1.500000000E1,3.227999878E1,5.346969365E1
2.297192450E-1,3.954000092E1,-1.511999989E1,3.245999908E1,5.334489300E1
2.376538160E-1,3.971999741E1,-1.481999969E1,3.245999908E1,5.339440163E1
2.456189040E-1,3.977999878E1,-1.439999962E1,3.215999985E1,5.314201616E1
2.535534740E-1,3.995999908E1,-1.463999939E1,3.192000008E1,5.319790892E1
2.615185620E-1,3.995999908E1,-1.469999981E1,3.173999977E1,5.310667667E1
2.693920970E-1,3.947999954E1,-1.446000004E1,3.197999954E1,5.282501619E1
2.773266670E-1,3.954000092E1,-1.457999992E1,3.179999924E1,5.279420443E1
2.853222730E-1,3.965999985E1,-1.439999962E1,3.192000008E1,5.290710710E1
2.932263260E-1,3.936000061E1,-1.427999973E1,3.167999840E1,5.250476492E1
3.011914130E-1,3.954000092E1,-1.446000004E1,3.161999893E1,5.265289741E1
3.090344310E-1,3.911999893E1,-1.500000000E1,3.173999977E1,5.256236203E1
3.169690010E-1,3.852000046E1,-1.511999989E1,3.197999954E1,5.229842447E1
3.249340890E-1,3.887999725E1,-1.511999989E1,3.263999939E1,5.296827487E1
